# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: HC
#                  Percentage of Rejected Trials: %7.12
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
7.30000e+01, 1.80000e+02, 3.00000e-01, 0.00000e+00, 8.45325e-02
7.40000e+01, 0.00000e+00, 1.50000e-01, 0.00000e+00, 1.82643e-01
7.50000e+01, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.48414e-02
7.60000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.87510e-02
7.70000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.66845e-01
7.80000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.23825e-02
7.90000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.38520e-01
8.00000e+01, 1.80000e+02, 1.50000e-01, 1.00000e+00, 1.80183e-01
8.10000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 5.03754e-02
8.20000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 1.82688e-02
8.30000e+01, 0.00000e+00, 3.00000e-01, 1.00000e+00, 1.58519e-01
8.40000e+01, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.03601e-02
8.50000e+01, 0.00000e+00, 3.00000e-01, 0.00000e+00, 1.16329e-01
8.60000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.39044e-02
8.70000e+01, 1.80000e+02, 1.50000e-01, 1.00000e+00, 5.99171e-02
8.80000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.05926e-01
8.90000e+01, 0.00000e+00, 5.00000e-02, 0.00000e+00, 1.09768e-01
9.00000e+01, 1.80000e+02, 8.00000e-01, 1.00000e+00, 1.95617e-02
9.10000e+01, 0.00000e+00, 1.50000e-01, 0.00000e+00, 1.49571e-01
9.20000e+01, 1.80000e+02, 1.50000e-01, 1.00000e+00, 9.94171e-02
9.30000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 7.78208e-02
9.40000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.33539e-02
9.50000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.39969e-01
9.60000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 5.57881e-02
9.70000e+01, 1.80000e+02, 8.00000e-01, -2.00000e+00, 2.00000e+00
9.80000e+01, 1.80000e+02, 5.00000e-02, 1.00000e+00, 1.89756e-01
9.90000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 5.61077e-03
1.00000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.12625e-02
1.01000e+02, 1.80000e+02, 3.00000e-01, -2.00000e+00, 2.00000e+00
1.02000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 1.83083e-01
1.03000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 6.06194e-02
1.04000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 2.29430e-01
1.05000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 6.64523e-01
1.06000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.92113e-02
1.07000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 3.25218e-01
1.08000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 3.42487e-01
1.09000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 1.68956e-01
1.10000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 1.30609e-01
1.11000e+02, 0.00000e+00, 5.00000e-01, 0.00000e+00, 1.48994e-01
1.12000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 5.02790e-02
1.13000e+02, 1.80000e+02, 1.50000e-01, 1.00000e+00, 8.68085e-02
1.14000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 6.04345e-02
1.16000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 7.74382e-01
1.17000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 3.68229e-01
1.18000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 7.80574e-02
1.19000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 3.78657e-02
1.20000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.55271e-02
1.21000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 3.16035e-01
1.22000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 5.23497e-02
1.23000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 1.70205e-01
1.24000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 7.11489e-01
1.25000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 1.65258e-01
1.26000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 7.39980e-02
1.27000e+02, 1.80000e+02, 1.50000e-01, 0.00000e+00, 1.95284e-01
1.28000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.63515e-01
