*Header begin
Subject ID = zp_6-20_18-7_radial.log
edf_name = C:\Documents and Settings\hulusi\My Documents\MotionCoherence\data\radial\zp_6-20_18-7_radial.log
Group = WS
Eye To Screen = 57
Screen Dims = 4.268750e+0124
Radius of the Big Circle = 10
Radius of the Small Circle = 1.500000e+00
Density of dots = 4
Amount of dots = 1257
Radius of a dot = 2.000000e-01
Velocity = 8
Pixel Depth= 32
Dots Colour= 200
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
TrialNo	Direction	Cohe	isCorrect	Pressed	ReactionTime	Jitter	
1		1		5.000000e-02	1		8		8.814782e-01		1.830809e+00
2		-1		1.500000e-01	-2		space		2		1.859061e+00
3		-1		1.500000e-01	-2		space		2		1.570250e+00
4		-1		3.000000e-01	1		2		9.793896e-01		1.711026e+00
5		-1		5.000000e-02	-2		space		2		1.987997e+00
6		-1		1.500000e-01	-2		space		2		1.771462e+00
7		1		5.000000e-02	-2		space		2		1.343279e+00
8		-1		8.000000e-01	1		2		8.482925e-01		1.847856e+00
9		1		5.000000e-02	-2		space		2		1.263000e+00
10		1		3.000000e-01	1		8		6.608083e-01		1.954135e+00
11		-1		8.000000e-01	1		2		6.890239e-01		1.719643e+00
12		1		1.500000e-01	1		8		7.912732e-01		1.560415e+00
13		1		8.000000e-01	1		8		7.474727e-01		1.358237e+00
14		1		1.500000e-01	1		8		8.557009e-01		1.928681e+00
15		1		1.500000e-01	1		8		7.478970e-01		1.767227e+00
16		1		6.500000e-01	1		8		7.862474e-01		1.966487e+00
17		-1		5.000000e-01	1		2		8.124398e-01		1.254035e+00
18		-1		6.500000e-01	1		2		8.546919e-01		1.697768e+00
19		1		6.500000e-01	1		8		6.848667e-01		1.361045e+00
20		1		8.000000e-01	1		8		8.971347e-01		1.247511e+00
21		1		1.500000e-01	-2		space		2		1.329451e+00
22		1		5.000000e-01	1		8		8.715996e-01		1.924917e+00
23		-1		3.000000e-01	1		2		7.237068e-01		1.652447e+00
24		-1		5.000000e-01	1		2		9.120953e-01		1.416430e+00
25		1		8.000000e-01	1		8		6.722455e-01		1.604634e+00
26		-1		3.000000e-01	1		2		8.945243e-01		1.877546e+00
27		1		3.000000e-01	1		8		6.327757e-01		1.742319e+00
28		-1		8.000000e-01	1		2		7.710083e-01		1.666773e+00
29		-1		1.500000e-01	-2		space		2		1.919976e+00
30		1		5.000000e-01	1		8		9.094843e-01		1.630122e+00
31		1		3.000000e-01	-2		space		2		1.243945e+00
32		1		8.000000e-01	1		8		7.799332e-01		1.923217e+00
33		1		5.000000e-02	-2		space		2		1.328520e+00
34		-1		6.500000e-01	1		2		8.544089e-01		1.941818e+00
35		1		3.000000e-01	1		8		9.526507e-01		1.850669e+00
36		-1		5.000000e-01	1		2		9.068893e-01		1.496874e+00
37		1		8.000000e-01	1		8		9.111370e-01		1.764852e+00
38		-1		5.000000e-02	-2		space		2		1.336402e+00
39		-1		8.000000e-01	-2		space		2		1.884649e+00
40		1		1.500000e-01	1		8		9.118229e-01		1.598212e+00
41		1		5.000000e-02	-2		space		2		1.266147e+00
42		-1		6.500000e-01	1		2		7.762526e-01		1.745542e+00
43		1		3.000000e-01	1		8		7.304289e-01		1.340208e+00
44		1		8.000000e-01	1		8		6.766659e-01		1.628362e+00
