*Header begin
Subject ID = OT_11-3_10-36_rotational.log
edf_name = C:\Documents and Settings\hulusi\My Documents\MotionCoherence\data\rotational\OT_11-3_10-36_rotational.log
Group = WS
Eye To Screen = 57
Screen Dims = 4.268750e+0124
Radius of the Big Circle = 10
Radius of the Small Circle = 1.500000e+00
Density of dots = 4
Amount of dots = 1257
Radius of a dot = 2.000000e-01
Velocity = 8
Pixel Depth= 32
Dots Colour= 200
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
TrialNo	Direction	Cohe	isCorrect	Pressed	ReactionTime	Jitter	
1		1		3.000000e-01	1		4		3.106680e-01		1.273100e+00
2		1		5.000000e-02	0		6		4.708632e-01		1.591137e+00
3		1		8.000000e-01	1		4		4.351411e-01		1.895716e+00
4		-1		3.000000e-01	1		6		3.773759e-01		1.283877e+00
5		-1		6.500000e-01	1		6		2.795830e-01		1.601833e+00
6		-1		3.000000e-01	1		6		3.498587e-01		1.683772e+00
7		-1		8.000000e-01	1		6		2.921505e-01		1.924440e+00
8		-1		1.500000e-01	1		6		3.783752e-01		1.729979e+00
9		-1		3.000000e-01	1		6		4.705134e-01		1.455522e+00
10		-1		8.000000e-01	1		6		3.908779e-01		1.876435e+00
11		1		6.500000e-01	1		4		4.411072e-01		1.265525e+00
12		1		1.500000e-01	1		4		3.033277e-01		1.686934e+00
13		1		5.000000e-01	1		4		2.255776e-01		1.782517e+00
14		-1		5.000000e-02	1		6		2.878293e-01		1.652196e+00
15		1		3.000000e-01	1		4		2.580747e-01		1.705739e+00
16		-1		3.000000e-01	1		6		5.831216e-02		1.712558e+00
17		1		6.500000e-01	1		4		2.305773e-01		1.637670e+00
18		-1		1.500000e-01	1		6		3.507848e-01		1.397450e+00
19		-1		6.500000e-01	1		6		3.090563e-01		1.999873e+00
20		-1		6.500000e-01	1		6		3.373320e-01		1.856156e+00
21		-1		3.000000e-01	1		6		2.554677e-01		1.438684e+00
22		1		8.000000e-01	1		4		3.077975e-01		1.582310e+00
23		1		5.000000e-02	1		4		4.240656e-01		1.457791e+00
24		1		1.500000e-01	1		4		3.942758e-01		1.584918e+00
25		-1		5.000000e-02	0		4		3.145268e-01		1.799038e+00
26		1		5.000000e-01	1		4		3.167570e-01		1.516913e+00
27		1		1.500000e-01	1		4		4.669996e-01		1.801480e+00
28		-1		5.000000e-01	1		6		3.112415e-01		1.340719e+00
29		1		5.000000e-02	1		4		2.934828e-01		1.607682e+00
30		-1		5.000000e-02	1		6		2.677307e-01		1.598341e+00
31		1		5.000000e-02	1		4		2.579783e-01		1.733713e+00
32		-1		8.000000e-01	1		6		2.882162e-01		1.522531e+00
33		1		5.000000e-01	1		4		3.104646e-01		1.806601e+00
34		-1		5.000000e-02	1		6		3.007206e-01		1.452997e+00
35		1		5.000000e-02	0		6		3.549596e-01		1.527213e+00
36		1		1.500000e-01	1		4		2.752210e-01		1.713825e+00
37		-1		3.000000e-01	1		6		5.214252e-01		1.246265e+00
38		1		1.500000e-01	1		4		3.016339e-01		1.492020e+00
39		-1		5.000000e-02	1		6		3.298897e-01		1.654930e+00
40		-1		3.000000e-01	1		6		3.221437e-01		1.909088e+00
41		-1		5.000000e-02	1		6		8.823574e-01		1.274703e+00
42		1		8.000000e-01	1		4		3.326280e-01		1.743294e+00
43		1		8.000000e-01	1		4		3.008712e-01		1.630767e+00
44		-1		8.000000e-01	1		6		2.671418e-01		1.881744e+00
45		1		6.500000e-01	1		4		4.113774e-01		1.351810e+00
46		1		6.500000e-01	1		4		4.296242e-01		1.830713e+00
47		-1		1.500000e-01	1		6		3.758497e-01		1.462106e+00
48		-1		5.000000e-01	1		6		4.260748e-01		1.307688e+00
49		-1		8.000000e-01	1		6		2.843252e-01		1.818710e+00
50		-1		3.000000e-01	1		6		4.145390e-01		1.298994e+00
51		-1		5.000000e-02	1		6		3.768116e-01		1.818180e+00
52		-1		3.000000e-01	1		6		2.770430e-01		1.609153e+00
53		-1		6.500000e-01	1		6		4.152774e-01		1.300630e+00
54		-1		5.000000e-01	1		6		2.975104e-01		1.581651e+00
55		1		8.000000e-01	1		4		1.377021e-01		1.229752e+00
56		-1		1.500000e-01	1		6		2.539697e-01		1.691736e+00
57		1		1.500000e-01	1		4		3.742163e-01		1.508720e+00
58		-1		6.500000e-01	1		6		2.964704e-01		1.858360e+00
59		1		5.000000e-02	1		4		3.647187e-01		1.611731e+00
60		-1		8.000000e-01	1		6		3.269541e-01		1.460608e+00
61		1		6.500000e-01	1		4		5.011846e-01		1.261252e+00
62		-1		6.500000e-01	1		6		3.213791e-01		1.273409e+00
63		1		6.500000e-01	1		4		2.855899e-01		1.274683e+00
64		-1		5.000000e-01	1		6		2.438201e-01		1.465485e+00
65		1		5.000000e-02	0		6		5.740928e-01		1.485319e+00
66		-1		6.500000e-01	1		6		4.922966e-01		1.267372e+00
67		-1		5.000000e-01	1		6		2.785161e-01		1.684556e+00
68		1		6.500000e-01	1		4		4.386859e-01		1.409294e+00
69		1		6.500000e-01	1		4		5.089826e-01		1.304426e+00
70		-1		6.500000e-01	1		6		6.732208e-01		1.310303e+00
71		-1		5.000000e-01	1		6		5.093849e-01		1.277116e+00
72		1		8.000000e-01	1		4		3.536452e-01		1.673314e+00
73		1		8.000000e-01	1		4		3.518939e-01		1.536695e+00
74		1		3.000000e-01	1		4		5.061688e-01		1.285048e+00
75		-1		6.500000e-01	1		6		4.683682e-01		1.721254e+00
76		-1		8.000000e-01	1		6		3.785679e-01		1.254785e+00
