# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: PD
#                  Percentage of Rejected Trials: %0.95
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
7.10000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.62667e-01
7.20000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 3.38882e-01
7.30000e+01, 1.80000e+02, 1.50000e-01, 1.00000e+00, 4.07083e-01
7.40000e+01, 0.00000e+00, 1.50000e-01, 1.00000e+00, 6.59430e-01
7.50000e+01, 1.80000e+02, 3.00000e-01, 1.00000e+00, 5.37591e-01
7.60000e+01, 1.80000e+02, 1.50000e-01, 0.00000e+00, 4.47748e-01
7.70000e+01, 0.00000e+00, 1.50000e-01, -2.00000e+00, 2.00000e+00
7.80000e+01, 1.80000e+02, 8.00000e-01, 1.00000e+00, 5.26316e-01
7.90000e+01, 0.00000e+00, 1.50000e-01, 1.00000e+00, 3.08517e-01
8.00000e+01, 1.80000e+02, 3.00000e-01, 0.00000e+00, 7.96762e-01
8.10000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 3.35000e-01
8.20000e+01, 0.00000e+00, 1.50000e-01, 1.00000e+00, 9.89249e-01
8.30000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 1.71471e-01
8.40000e+01, 0.00000e+00, 5.00000e-02, 0.00000e+00, 6.81771e-01
8.50000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 1.23967e-01
8.60000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 1.20137e-01
8.70000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.78390e-01
8.80000e+01, 1.80000e+02, 5.00000e-02, 0.00000e+00, 3.28626e-01
8.90000e+01, 1.80000e+02, 3.00000e-01, 1.00000e+00, 4.44885e-01
9.00000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.53082e-01
9.10000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 9.32708e-02
9.20000e+01, 0.00000e+00, 3.00000e-01, 1.00000e+00, 3.27511e-01
9.30000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.73698e-01
9.40000e+01, 1.80000e+02, 3.00000e-01, 0.00000e+00, 5.77986e-01
9.50000e+01, 0.00000e+00, 5.00000e-02, 1.00000e+00, 4.82179e-01
9.60000e+01, 0.00000e+00, 5.00000e-02, 0.00000e+00, 5.66398e-01
9.70000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 3.60666e-01
9.80000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 3.72838e-01
9.90000e+01, 0.00000e+00, 1.50000e-01, 0.00000e+00, 7.87108e-01
1.00000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 3.65298e-01
1.01000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.11577e-01
1.02000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 3.43803e-01
1.03000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.39998e-01
1.04000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 2.08211e-01
1.05000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.74418e-01
1.06000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.54635e-01
1.07000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 1.68927e-01
1.08000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.41048e-01
1.09000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.95368e-01
1.10000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.41564e-01
1.11000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 7.95760e-01
1.12000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 4.94056e-01
1.13000e+02, 1.80000e+02, 1.50000e-01, 0.00000e+00, 7.32250e-01
1.14000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.80533e-01
1.15000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 5.68768e-01
1.16000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 5.10894e-01
1.17000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 2.93198e-01
1.18000e+02, 0.00000e+00, 3.00000e-01, 1.00000e+00, 4.21463e-01
1.19000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.33646e-01
1.20000e+02, 0.00000e+00, 3.00000e-01, 1.00000e+00, 4.31924e-01
1.21000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.74158e-01
1.22000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 4.10283e-01
1.23000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.86407e-01
1.24000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 4.26859e-01
1.25000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 1.95044e-01
1.26000e+02, 0.00000e+00, 1.50000e-01, 1.00000e+00, 7.35321e-01
1.27000e+02, 1.80000e+02, 5.00000e-02, 0.00000e+00, 4.03545e-01
1.28000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 2.93752e-01
1.29000e+02, 1.80000e+02, 1.50000e-01, -2.00000e+00, 2.00000e+00
1.30000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 3.56195e-01
1.31000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 5.78468e-01
1.32000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.06615e-01
1.33000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 9.07976e-02
1.34000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 1.89122e-01
1.35000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 2.49156e-01
1.36000e+02, 1.80000e+02, 3.00000e-01, 0.00000e+00, 3.19618e-01
1.37000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.19828e-01
1.38000e+02, 0.00000e+00, 1.50000e-01, -2.00000e+00, 2.00000e+00
1.39000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.42226e-01
1.40000e+02, 1.80000e+02, 5.00000e-02, 0.00000e+00, 4.40553e-01
1.41000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.60766e-01
1.42000e+02, 1.80000e+02, 1.50000e-01, 0.00000e+00, 3.37027e-01
1.43000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.51255e-01
1.44000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 4.13512e-01
1.45000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.89666e-01
1.46000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.78001e-01
1.47000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 1.80183e-01
1.48000e+02, 1.80000e+02, 1.50000e-01, 1.00000e+00, 3.26448e-01
1.49000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.28647e-01
1.50000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.84924e-01
1.51000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 2.81095e-01
1.52000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 4.73370e-01
1.53000e+02, 1.80000e+02, 1.50000e-01, 1.00000e+00, 3.05571e-01
1.54000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 8.27847e-01
1.55000e+02, 1.80000e+02, 5.00000e-01, 0.00000e+00, 3.84000e-01
1.56000e+02, 1.80000e+02, 5.00000e-02, 0.00000e+00, 2.44208e-01
1.57000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 4.10465e-01
1.58000e+02, 1.80000e+02, 1.50000e-01, 0.00000e+00, 2.46687e-01
1.59000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 3.96921e-01
1.60000e+02, 0.00000e+00, 3.00000e-01, 1.00000e+00, 2.83159e-01
1.61000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 4.27387e-01
1.62000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 1.73589e-01
1.63000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 6.35848e-01
1.64000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 4.78046e-01
1.65000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 5.06197e-01
1.66000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.62536e-01
1.67000e+02, 0.00000e+00, 3.00000e-01, 1.00000e+00, 4.86766e-01
1.68000e+02, 0.00000e+00, 1.50000e-01, 1.00000e+00, 6.43042e-01
1.69000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 4.37282e-01
1.70000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 5.09485e-01
1.71000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 2.55646e-01
1.72000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 3.05934e-01
1.73000e+02, 1.80000e+02, 3.00000e-01, 0.00000e+00, 5.50154e-01
1.74000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.84389e-01
1.75000e+02, 1.80000e+02, 1.50000e-01, 1.00000e+00, 2.08660e-01
1.76000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.90890e-01
1.77000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 9.09057e-02
1.78000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.17382e-01
1.79000e+02, 1.80000e+02, 3.00000e-01, 0.00000e+00, 2.79621e-01
1.80000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 4.77792e-01
1.81000e+02, 1.80000e+02, 3.00000e-01, 0.00000e+00, 5.50080e-01
1.82000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.12285e-01
1.83000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 2.84463e-01
1.84000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 3.60757e-01
1.85000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 3.34973e-01
1.86000e+02, 1.80000e+02, 5.00000e-01, 0.00000e+00, 3.05218e-01
1.87000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.51434e-01
1.88000e+02, 0.00000e+00, 3.00000e-01, 1.00000e+00, 7.55678e-01
1.89000e+02, 1.80000e+02, 1.50000e-01, 1.00000e+00, 2.17880e-01
1.90000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.14167e-01
1.91000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.22354e-01
1.92000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 4.48640e-01
1.93000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 2.22835e-01
1.94000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 2.85135e-01
1.95000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 3.17234e-01
1.96000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.07495e-01
1.97000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.17577e-02
1.98000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 2.08010e-01
1.99000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 2.64258e-01
2.00000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 2.62519e-01
2.01000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 1.70681e-01
2.02000e+02, 1.80000e+02, 1.50000e-01, 1.00000e+00, 3.50972e-01
2.03000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 1.87084e-01
2.04000e+02, 1.80000e+02, 5.00000e-02, 0.00000e+00, 2.81376e-01
2.05000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 2.93592e-01
2.06000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 1.27823e-01
2.07000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 6.00800e-02
2.08000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 1.14236e-01
2.09000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 3.14513e-01
2.10000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.16739e-01
2.11000e+02, 0.00000e+00, 1.50000e-01, 1.00000e+00, 2.43033e-01
2.12000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.69151e-01
2.13000e+02, 1.80000e+02, 3.00000e-01, 0.00000e+00, 1.67473e-01
2.14000e+02, 1.80000e+02, 5.00000e-02, 1.00000e+00, 3.57696e-01
2.15000e+02, 1.80000e+02, 6.50000e-01, 1.00000e+00, 3.03942e-01
2.16000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 1.40074e-01
2.17000e+02, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.90397e-01
2.18000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.84583e-01
2.19000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 3.28142e-02
2.20000e+02, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.69080e-01
2.21000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 4.11396e-01
2.22000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.63490e-01
2.23000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 4.23777e-01
2.24000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.29964e-01
2.25000e+02, 0.00000e+00, 5.00000e-02, 0.00000e+00, 7.18297e-01
2.26000e+02, 0.00000e+00, 1.50000e-01, 1.00000e+00, 2.64422e-01
2.27000e+02, 0.00000e+00, 6.50000e-01, 0.00000e+00, 2.78620e-01
2.28000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.56946e-01
2.29000e+02, 1.80000e+02, 5.00000e-02, 0.00000e+00, 6.95119e-01
2.30000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 3.85357e-01
2.31000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 3.73628e-01
2.32000e+02, 0.00000e+00, 1.50000e-01, -2.00000e+00, 2.00000e+00
2.33000e+02, 1.80000e+02, 5.00000e-02, 0.00000e+00, 6.48126e-01
2.34000e+02, 0.00000e+00, 3.00000e-01, 0.00000e+00, 4.18359e-01
2.35000e+02, 0.00000e+00, 5.00000e-01, 1.00000e+00, 1.70468e-01
2.36000e+02, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.08776e-01
2.37000e+02, 0.00000e+00, 3.00000e-01, 1.00000e+00, 4.14992e-01
2.38000e+02, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.99175e-01
2.39000e+02, 1.80000e+02, 1.50000e-01, 0.00000e+00, 3.31475e-01
2.40000e+02, 1.80000e+02, 3.00000e-01, 1.00000e+00, 3.87702e-01
2.41000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 3.47851e-01
2.42000e+02, 0.00000e+00, 5.00000e-02, 1.00000e+00, 6.80222e-01
2.43000e+02, 1.80000e+02, 3.00000e-01, 0.00000e+00, 9.84456e-01
2.44000e+02, 0.00000e+00, 1.50000e-01, 1.00000e+00, 6.58679e-01
2.45000e+02, 1.80000e+02, 1.50000e-01, 0.00000e+00, 6.86893e-01
2.46000e+02, 0.00000e+00, 1.50000e-01, -2.00000e+00, 2.00000e+00
2.47000e+02, 0.00000e+00, 1.50000e-01, 0.00000e+00, 3.63346e-01
2.48000e+02, 0.00000e+00, 1.50000e-01, 1.00000e+00, 4.03585e-01
2.49000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.02475e-01
2.50000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 3.42674e-01
2.51000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 2.90878e-01
2.52000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.61124e-01
2.53000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.63324e-01
2.54000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 2.65627e-01
2.55000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 2.11854e-01
2.56000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.74070e-01
2.57000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.12344e-01
2.58000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.62601e-01
2.59000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.48783e-01
2.60000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 2.55053e-01
2.61000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 2.63262e-01
2.62000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.01491e-01
2.63000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 6.76991e-02
2.64000e+02, -1.00000e+00, 5.00000e-02, 1.00000e+00, 3.71961e-01
2.65000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 4.28167e-01
2.66000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.92385e-01
2.67000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 4.06596e-01
2.68000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.48837e-01
2.69000e+02, 1.00000e+00, 5.00000e-02, 0.00000e+00, 3.63041e-01
2.70000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.01346e-01
2.71000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.65541e-01
2.72000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.61722e-01
2.73000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.15961e-01
2.74000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 4.50225e-01
2.75000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 3.44414e-01
2.76000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 3.60651e-01
2.77000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 3.44886e-01
2.78000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.65121e-01
2.79000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 2.99367e-01
2.80000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.43582e-01
2.81000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.99839e-01
2.82000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.58077e-01
2.83000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 2.52291e-01
2.84000e+02, -1.00000e+00, 5.00000e-02, 1.00000e+00, 2.18546e-01
2.85000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.24741e-01
2.86000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 2.40992e-01
2.87000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.79246e-01
2.88000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 3.27472e-01
2.89000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.27760e-01
2.90000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 2.71971e-01
2.91000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 5.08244e-01
2.92000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 2.46435e-01
2.93000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 2.16679e-01
2.94000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.98926e-01
2.95000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 2.41127e-01
2.96000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 2.73380e-01
2.97000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 1.97601e-01
2.98000e+02, -1.00000e+00, 5.00000e-02, 1.00000e+00, 3.15812e-01
2.99000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 2.04024e-01
3.00000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 2.84293e-01
3.01000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 2.62507e-01
3.02000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 2.92707e-01
3.03000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 2.92970e-01
3.04000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.87172e-01
3.05000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.09432e-01
3.06000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 2.33648e-01
3.07000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 2.93888e-01
3.08000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.50108e-01
3.09000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 1.84311e-01
3.10000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 2.62501e-01
3.11000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 2.74797e-01
