# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: PM
#                  Percentage of Rejected Trials: %3.16
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
7.50000e+01, -1.00000e+00, 8.00000e-01, 0.00000e+00, 3.80534e-01
7.60000e+01, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.36422e-01
7.70000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.68084e-01
7.80000e+01, -1.00000e+00, 8.00000e-01, 1.00000e+00, 6.44665e-01
7.90000e+01, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.82544e-01
8.00000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 2.96461e-01
8.10000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.50378e-01
8.20000e+01, 1.00000e+00, 1.50000e-01, 1.00000e+00, 6.64115e-01
8.30000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.06284e-01
8.40000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 5.07528e-01
8.50000e+01, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.47648e-01
8.60000e+01, 1.00000e+00, 5.00000e-01, 1.00000e+00, 5.43751e-01
8.70000e+01, -1.00000e+00, 1.50000e-01, 0.00000e+00, 4.40286e-01
8.80000e+01, 1.00000e+00, 8.00000e-01, 1.00000e+00, 5.55976e-01
8.90000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.69442e-01
9.00000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.44048e-01
9.10000e+01, -1.00000e+00, 5.00000e-02, 1.00000e+00, 6.41304e-01
9.20000e+01, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.65885e-01
9.30000e+01, -1.00000e+00, 1.50000e-01, 1.00000e+00, 5.55083e-01
9.40000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.53190e-01
9.50000e+01, -1.00000e+00, 5.00000e-01, 1.00000e+00, 4.25723e-01
9.60000e+01, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.43516e-01
9.70000e+01, 1.00000e+00, 5.00000e-02, 0.00000e+00, 3.90883e-01
9.80000e+01, -1.00000e+00, 5.00000e-02, 0.00000e+00, 6.26703e-01
9.90000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.88891e-01
1.00000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 4.32980e-01
1.01000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.68654e-01
1.02000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.36487e-01
1.03000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 4.42296e-01
1.04000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 5.30708e-01
1.05000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 4.58239e-01
1.06000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 4.20859e-01
1.07000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 2.98507e-01
1.08000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 2.26359e-01
1.09000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 3.08002e-01
1.10000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.30228e-01
1.11000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 2.43876e-01
1.12000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 4.33940e-01
1.13000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 2.35864e-01
1.14000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.20543e-01
1.15000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.84247e-01
1.16000e+02, -1.00000e+00, 1.50000e-01, 0.00000e+00, 4.61578e-01
